Serial_No,Department,Year,Faculty_Feedback,Infrastructure_Feedback,Library_Feedback,Labs_Feedback,Placements_Feedback,Internship_Feedback,Extracurricular_Feedback,IndustryConnect_Feedback,Collaboration_Feedback
1,Civil,2nd,I felt projects was poorly explained and had unclear instructions. That’s how I felt about this subject.,I felt exams was monotonous and lacked real-world connection. That's my honest feedback.,I felt mock tests was incomplete and had unclear instructions. I genuinely feel this way.,I found group discussions very interactive because it motivated me to learn experiments. Hope it helps make things better.,I found faculty interactions very clear because it made me understand tutorials. I genuinely feel this way.,I felt exams was poorly explained and lacked real-world connection. Hope it helps make things better.,I felt mock tests was incomplete and had limited practice. I genuinely feel this way.,I found projects very interactive because it strengthened the subject. I genuinely feel this way.,I found case studies very helpful because it helped me with faculty interactions. That's my honest feedback.
2,EEE,3rd,I felt assignments was poorly explained and felt repetitive. It reflects my true experience.,I felt faculty interactions was unrealistic and was hard to manage. This is based on my classroom experience.,I found the lectures very motivating because it helped me with projects. I genuinely feel this way.,I felt practical sessions was unhelpful and was too fast. I hope this feedback is considered.,I found the subject very helpful because it supported projects. It reflects my true experience.,I felt assignments was poorly explained and felt repetitive. Just my personal opinion.,I found practical sessions very effective because it improved the lab sessions. I hope this feedback is considered.,I felt exams was rushed and felt repetitive. This is based on my classroom experience.,I felt the lectures was unhelpful and had unclear instructions. It reflects my true experience.
3,IT,4th,I felt seminars was stressful and felt repetitive. Hope it helps make things better.,I found seminars very motivating because it increased my interest in tests. This is based on my classroom experience.,I found practical sessions very motivating because it motivated me to learn practical sessions. That’s how I felt about this subject.,I found presentations very well-structured because it clarified assignments. It reflects my true experience.,I felt presentations was stressful and had confusing grading. I hope this feedback is considered.,I felt the lectures was unclear and felt repetitive. That's my honest feedback.,I felt assignments was unclear and didn’t allow enough time. Sharing this so it can be improved.,I felt practical sessions was monotonous and didn’t allow enough time. That's my honest feedback.,I found the lab sessions very motivating because it clarified tutorials. I hope this feedback is considered.
4,Civil,1st,I felt exams was too lengthy and was too fast. That’s how I felt about this subject.,I felt group discussions was stressful and was poorly scheduled. Hope it helps make things better.,I felt practical sessions was stressful and had limited practice. Just my personal opinion.,I felt coding practice was unclear and was hard to manage. Hope it helps make things better.,"I found the lab sessions very inspiring because it improved mock tests. Overall, it was a good learning experience.",I found seminars very helpful because it made me understand case studies. Hope it helps make things better.,I found faculty interactions very informative because it improved experiments. That's my honest feedback.,I felt group discussions was incomplete and had confusing grading. That's my honest feedback.,I felt exams was too theoretical and was poorly scheduled. It reflects my true experience.
5,ECE,2nd,I felt the lab sessions was difficult to follow and had unclear instructions. Sharing this so it can be improved.,I found practical sessions very useful because it made me understand group discussions. It reflects my true experience.,I felt faculty interactions was unhelpful and had unclear instructions. That's my honest feedback.,I found case studies very clear because it clarified tests. I hope this feedback is considered.,I found case studies very engaging because it guided the subject. That’s how I felt about this subject.,I found group discussions very organized because it motivated me to learn tests. Sharing this so it can be improved.,I felt exams was too lengthy and had limited practice. Just my personal opinion.,I found the subject very informative because it helped me with presentations. It reflects my true experience.,I found the course very practical because it made me understand exams. I hope this feedback is considered.
6,IT,1st,I found projects very organized because it clarified the course. Just my personal opinion.,I found presentations very engaging because it helped me with the course. Hope it helps make things better.,I felt practical sessions was boring and had limited practice. Hope it helps make things better.,I felt projects was poorly explained and didn’t allow enough time. Sharing this so it can be improved.,I felt presentations was monotonous and felt repetitive. Sharing this so it can be improved.,I found mock tests very enjoyable because it enhanced the course. I genuinely feel this way.,I felt practical sessions was stressful and had confusing grading. I hope this feedback is considered.,I felt group discussions was monotonous and had unclear instructions. I genuinely feel this way.,I felt practical sessions was rushed and had unclear instructions. That’s how I felt about this subject.
7,IT,1st,I found the course very relevant because it enhanced mock tests. That’s how I felt about this subject.,I found faculty interactions very informative because it strengthened projects. It reflects my true experience.,I felt practical sessions was stressful and needed more examples. I genuinely feel this way.,I felt exams was too lengthy and had limited practice. Just my personal opinion.,I felt practical sessions was rushed and didn’t allow enough time. I genuinely feel this way.,I felt exams was unclear and lacked real-world connection. Just my personal opinion.,I felt coding practice was boring and had confusing grading. This is based on my classroom experience.,I felt coding practice was too lengthy and needed more examples. I hope this feedback is considered.,I felt the lectures was disorganized and had confusing grading. I genuinely feel this way.
8,ECE,3rd,"I felt group discussions was confusing and had limited practice. Overall, it was a good learning experience.",I found coding practice very helpful because it helped me with coding practice. That's my honest feedback.,I felt tests was too lengthy and was hard to manage. That’s how I felt about this subject.,"I felt the lab sessions was difficult to follow and needed more examples. Overall, it was a good learning experience.",I found assignments very smooth because it strengthened practical sessions. This is based on my classroom experience.,I found assignments very relevant because it clarified mock tests. I genuinely feel this way.,I felt the lectures was unengaging and had unclear instructions. I genuinely feel this way.,I found the lab sessions very practical because it guided group discussions. Hope it helps make things better.,I found tests very well-explained because it clarified practical sessions. I genuinely feel this way.
9,IT,2nd,I found exams very well-explained because it clarified coding practice. I genuinely feel this way.,I found projects very engaging because it guided coding practice. It reflects my true experience.,I felt presentations was poorly explained and had confusing grading. It reflects my true experience.,I found tests very effective because it helped me with the lab sessions. Just my personal opinion.,I felt tutorials was disorganized and had unclear instructions. Sharing this so it can be improved.,I felt the course was too lengthy and had limited practice. That's my honest feedback.,I felt group discussions was rushed and was hard to manage. Just my personal opinion.,I felt the lectures was monotonous and was poorly scheduled. It reflects my true experience.,I felt the lab sessions was too theoretical and was too fast. That’s how I felt about this subject.
10,Mechanical,3rd,I felt case studies was too theoretical and had confusing grading. It reflects my true experience.,I found presentations very clear because it helped me with the lectures. That's my honest feedback.,I felt the subject was boring and had limited practice. I hope this feedback is considered.,I found experiments very well-explained because it strengthened group discussions. Just my personal opinion.,I found faculty interactions very valuable because it made me understand the subject. This is based on my classroom experience.,I felt exams was difficult to follow and had unclear instructions. It reflects my true experience.,I found tutorials very informative because it helped me with presentations. Hope it helps make things better.,I felt experiments was unengaging and had confusing grading. Hope it helps make things better.,I felt the course was confusing and didn’t allow enough time. I genuinely feel this way.
